Density_Raw,source_file,initial_cells,time_step,x_coordinate,density_rolling_mean,density_gaussian
3.2634e-05,density_1D_filter_3_t2_refine4.dat,10000,2,0.5526315789473684,4.1292000000000004e-05,3.883230242092699e-05
2.331e-05,density_1D_filter_3_t2_refine4.dat,10000,2,0.5789473684210527,3.2634000000000006e-05,2.6746452804733525e-05
9.324e-06,density_1D_filter_3_t2_refine4.dat,10000,2,0.6052631578947368,2.0646e-05,1.837788998374348e-05
1.8648e-05,density_1D_filter_3_t2_refine4.dat,10000,2,0.631578947368421,1.5317999999999998e-05,1.3345283922551545e-05
4.662e-06,density_1D_filter_3_t2_refine4.dat,10000,2,0.6578947368421052,1.2654e-05,1.105797503529341e-05
4.662e-06,density_1D_filter_3_t2_refine4.dat,10000,2,0.6842105263157894,1.7981999999999998e-05,1.3040512304057907e-05
1.3986e-05,density_1D_filter_3_t2_refine4.dat,10000,2,0.7105263157894737,4.1291428571428564e-05,2.357817545067088e-05
1.3986e-05,density_1D_filter_3_t2_refine4.dat,10000,2,0.7368421052631579,6.460171428571428e-05,4.890280941421169e-05
6.0606e-05,density_1D_filter_3_t2_refine4.dat,10000,2,0.763157894736842,0.00011388571428571429,9.323029632641374e-05
0.00017249,density_1D_filter_3_t2_refine4.dat,10000,2,0.7894736842105263,0.00016450114285714284,0.0001542600016393995
0.00018182,density_1D_filter_3_t2_refine4.dat,10000,2,0.8157894736842105,0.00022044457142857146,0.00022415276634131517
0.00034965,density_1D_filter_3_t2_refine4.dat,10000,2,0.8421052631578947,0.00027505657142857143,0.00029183911926096494
0.00035897,density_1D_filter_3_t2_refine4.dat,10000,2,0.8684210526315789,0.00032966857142857143,0.0003465018077568486
0.00040559,density_1D_filter_3_t2_refine4.dat,10000,2,0.894736842105263,0.00036829714285714285,0.00038685947735670785
0.00039627,density_1D_filter_3_t2_refine4.dat,10000,2,0.9210526315789473,0.00047019428571428573,0.0004265639535461064
0.00044289,density_1D_filter_3_t2_refine4.dat,10000,2,0.9473684210526315,0.0005268042857142857,0.0004872808122872152
0.00044289,density_1D_filter_3_t2_refine4.dat,10000,2,0.9736842105263157,0.0005727585714285714,0.0005757177570329894
0.00028904,density_1D_filter_3_t1_refine4.dat,10000,1,0.0,0.00027389,0.0002901251353585808
0.00031235,density_1D_filter_3_t1_refine4.dat,10000,1,0.02631578947368421,0.000279718,0.0002839131450887951
0.00026107,density_1D_filter_3_t1_refine4.dat,10000,1,0.05263157894736842,0.00027505666666666667,0.00027463287350220023
0.0002331,density_1D_filter_3_t1_refine4.dat,10000,1,0.07894736842105263,0.00027172714285714287,0.00026782241393473824
0.00030303,density_1D_filter_3_t1_refine4.dat,10000,1,0.10526315789473684,0.00026307,0.00026401447114352385
0.00025175,density_1D_filter_3_t1_refine4.dat,10000,1,0.13157894736842105,0.00025308,0.00025840572492964227
0.00025175,density_1D_filter_3_t1_refine4.dat,10000,1,0.15789473684210525,0.00024975,0.0002497438794288357
0.00022844,density_1D_filter_3_t1_refine4.dat,10000,1,0.18421052631578946,0.0002437557142857143,0.00024055983723011282
0.00024242,density_1D_filter_3_t1_refine4.dat,10000,1,0.21052631578947367,0.00021977999999999999,0.00022988371392621752
0.00023776,density_1D_filter_3_t1_refine4.dat,10000,1,0.23684210526315788,0.00020379571428571426,0.00021274886587316737
0.00019114,density_1D_filter_3_t1_refine4.dat,10000,1,0.2631578947368421,0.00018648000000000002,0.00018783689077319873
0.0001352,density_1D_filter_3_t1_refine4.dat,10000,1,0.2894736842105263,0.0001651677142857143,0.0001607129786221017
0.00013986,density_1D_filter_3_t1_refine4.dat,10000,1,0.3157894736842105,0.00013719628571428572,0.00013602757400256566
0.00013054,density_1D_filter_3_t1_refine4.dat,10000,1,0.3421052631578947,0.00010855857142857144,0.00011197073452132339
7.9254e-05,density_1D_filter_3_t1_refine4.dat,10000,1,0.3684210526315789,8.791285714285715e-05,8.687796600759189e-05
4.662e-05,density_1D_filter_3_t1_refine4.dat,10000,1,0.39473684210526316,7.525857142857142e-05,6.518494862767787e-05
3.7296e-05,density_1D_filter_3_t1_refine4.dat,10000,1,0.42105263157894735,6.593457142857142e-05,5.266989307603023e-05
4.662e-05,density_1D_filter_3_t1_refine4.dat,10000,1,0.4473684210526315,5.6609999999999995e-05,5.012581560969713e-05
